title;pricedc;terjual;link;Original Price;Min Price;Max Price
SOMETHINC [Beli 2 PCS Lebih Hemat] Best Seller Product Twin Pack Kit;156.640;565 Terjual/ Bulan;/SOMETHINC-Beli-2-PCS-Lebih-Hemat-Best-Seller-Product-Twin-Pack-Kit-i.195455930.12323645944?sp_atk=003d6b27-82bb-4d08-989a-31abf4654681&xptdk=003d6b27-82bb-4d08-989a-31abf4654681;;156640;350240
[Ready Stock] SKINTIFIC - 5X Ceramide Skin Barrier Repair Moisturize Gel 30g Moisturizer Cream Pemutih Wajah Day Cream Night Cream Pelembab Wajah【BPOM】;139.000;1RB+ Terjual/ Bulan;/-Ready-Stock-SKINTIFIC-5X-Ceramide-Skin-Barrier-Repair-Moisturize-Gel-30g-Moisturizer-Cream-Pemutih-Wajah-Day-Cream-Night-Cream-Pelembab-Wajah【BPOM】-i.457706720.11242593437?sp_atk=efc41fb8-aaee-4f30-b7bc-04b7f82d2b9a&xptdk=efc41fb8-aaee-4f30-b7bc-04b7f82d2b9a;169000.0;139000;139000
PACKAGE - Beaudelab Body Whitening Set | Body Lotion AHA + Body Scrub + Brightening Serum AHA;199.000;295 Terjual/ Bulan;/PACKAGE-Beaudelab-Body-Whitening-Set-Body-Lotion-AHA-Body-Scrub-Brightening-Serum-AHA-i.3714573.20306949623?sp_atk=b7bbd6cf-d3e0-4fc5-bcdd-65c3853573db&xptdk=b7bbd6cf-d3e0-4fc5-bcdd-65c3853573db;469300.0;199000;199000
[Ready Stock] SKINTIFIC - Mugwort Mask Anti Pores & Acne Clay Mask 55g Pore Clarifying Mud Mask Wash Off Pack Masker Wajah Facial Mask【BPOM】;99.000;1RB+ Terjual/ Bulan;/-Ready-Stock-SKINTIFIC-Mugwort-Mask-Anti-Pores-Acne-Clay-Mask-55g-Pore-Clarifying-Mud-Mask-Wash-Off-Pack-Masker-Wajah-Facial-Mask【BPOM】-i.457706720.12832460893?sp_atk=7d5c11ce-a311-4630-b7b3-edc54b995d76&xptdk=7d5c11ce-a311-4630-b7b3-edc54b995d76;139000.0;99000;99000
YOU Facial Wash Hy! Amino Anti Acne Sabun Cuci Muka Acnes Creamy Wash;32.300;1RB+ Terjual/ Bulan;/YOU-Facial-Wash-Hy!-Amino-Anti-Acne-Sabun-Cuci-Muka-Acnes-Creamy-Wash-i.72375863.14266733286?sp_atk=f24d9c73-705b-4f38-ae18-1c220e294f73&xptdk=f24d9c73-705b-4f38-ae18-1c220e294f73;;32300;91200
[READY STOCK] Madame Gie Skin Barrier Moisturizer - Ceramide Repair Skincare Pelembab Gel Ceramide;50.000;1RB+ Terjual/ Bulan;/-READY-STOCK-Madame-Gie-Skin-Barrier-Moisturizer-Ceramide-Repair-Skincare-Pelembab-Gel-Ceramide-i.94309880.11564359959?sp_atk=bef29328-b31c-4f79-857d-97ebe019f0d8&xptdk=bef29328-b31c-4f79-857d-97ebe019f0d8;129000.0;50000;50000
Promo Bening's  Brightening Skincare  | Paketan Pencerah dan Glowing;375.000;1RB+ Terjual/ Bulan;/Promo-Bening's-Brightening-Skincare-Paketan-Pencerah-dan-Glowing-i.190390143.3203993086?sp_atk=75fa6bea-ca72-4d11-b8f5-bba058201bbb&xptdk=75fa6bea-ca72-4d11-b8f5-bba058201bbb;500000.0;375000;375000
❤ BELIA ❤ HANASUI Collagen Water | Acne Treatment | Flawless Glow 10 Series | Acne Spot | Night Day Cream | Essence | Skincare Skin Care sunscreen sunblock sun screen block;16.300;1RB+ Terjual/ Bulan;/❤-BELIA-❤-HANASUI-Collagen-Water-Acne-Treatment-Flawless-Glow-10-Series-Acne-Spot-Night-Day-Cream-Essence-Skincare-Skin-Care-sunscreen-sunblock-sun-screen-block-i.48382819.4390455097?sp_atk=17a3c3b4-4501-45ba-afba-1b8382a34f34&xptdk=17a3c3b4-4501-45ba-afba-1b8382a34f34;;16300;30500
Promo Bening's  Exclusive Skincare  | Paketan Flek, Pencerah dan Glowing;375.000;1RB+ Terjual/ Bulan;/Promo-Bening's-Exclusive-Skincare-Paketan-Flek-Pencerah-dan-Glowing-i.190390143.6603862468?sp_atk=0f4419a4-56ed-451e-98c8-e06c3bf0f821&xptdk=0f4419a4-56ed-451e-98c8-e06c3bf0f821;500000.0;375000;375000
Promo Bening's  Acne Skincare  | Paketan Jerawat dan Beruntusan;375.000;1RB+ Terjual/ Bulan;/Promo-Bening's-Acne-Skincare-Paketan-Jerawat-dan-Beruntusan-i.190390143.5703828920?sp_atk=f6f23452-ffc5-4e92-b0f0-ed5ddb01271d&xptdk=f6f23452-ffc5-4e92-b0f0-ed5ddb01271d;500000.0;375000;375000
